id,user_id,title,summary,cover_url,country_code,city_code,category_code,dev_status_code,created_at,updated_at
20,6,TRAE Demo-Y3,TRAE Demo-Y3,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/6e1a5da7-cdd7-4d00-b832-7d13bb8bd4bc.jpg,AH,340100,scenario,prototype,2026-03-26 11:21:20.961000+00:00,2026-03-26 11:21:20.961000+00:00
15,7,杨CC资源站,杨CC资源站-你所见的100%都是trae开发,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/5a0de74c-2780-4ab2-a21f-4e86d4cf6a20.png,HE,130400,utility,prototype,2026-03-25 13:28:18.770000+00:00,2026-03-26 11:37:25.981000+00:00
21,14,效率搭子,把每天的工作安排得井井有条。,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/094d0227-d64c-445a-ac0c-561904da0e7f.png,JS,320400,utility,prototype,2026-03-26 12:03:06.275000+00:00,2026-03-26 12:03:06.275000+00:00
10,1,TRAE DEMO WALL,在 TRAE DEMO WALL 上展示你的作品,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-03/013f2fbb-e2cf-48af-b88a-156cab157b8a.png,CN,440300,utility,released,2026-03-03 07:46:14.064000+00:00,2026-03-03 13:37:46.564000+00:00
2,6,Productivity Timer,A simple timer to boost your productivity using Pomodoro technique.,https://placehold.co/600x400/png,CN,310100,utility,released,2026-03-03 04:48:15.069878+00:00,2026-03-03 13:38:16.129000+00:00
4,6,TRAE Demo-Y1,TRAE Demo-Y1,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-04/e70fc2c0-f9bc-45d6-86b8-6ceeb2539c85.png,CN,110100,utility,released,2026-03-04 07:19:01.098000+00:00,2026-03-04 07:19:01.098000+00:00
22,21,Test,testtesttesttesttest,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/8f81ffc5-a251-4a16-bad6-4fd877ee1a18.jpg,AH,340100,assistant,ideation,2026-03-26 13:02:39.729000+00:00,2026-03-26 13:02:39.729000+00:00
1,6,Trae AI Assistant,A powerful AI coding assistant integrated into your IDE.,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-04/55ec71ab-05db-48dc-b965-54538af1eef3.png,CN,330100,utility,released,2026-03-03 04:48:15.069878+00:00,2026-03-04 09:00:11.777000+00:00
3,1,五子棋,小时候爱玩的五子棋小时候爱玩的五子棋,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-04/64d6d9c0-a818-4178-87fa-42ccb0f5ab4f.png,ZJ,330500,utility,released,2026-03-04 06:44:57.932000+00:00,2026-03-24 07:03:17.402000+00:00
14,8,2号相机,2号相机 - 您的专业级双摄与提词器工具,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/666644fe-0a6c-4daa-b73a-816e175c3ecc.png,GD,440400,utility,released,2026-03-25 13:22:38.896000+00:00,2026-03-25 13:22:38.896000+00:00
16,8,回本了么,拟物化的个人消费反思系统,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/f85553e0-235f-4243-947c-4396409b8434.png,GD,440400,utility,released,2026-03-25 13:38:36.198000+00:00,2026-03-25 13:38:36.198000+00:00
17,5,香港资讯科技学院,香港资讯科技学院欢迎你～～,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/83162a67-92bc-4e79-8457-6bf3d5f49c29.png,SN,610100,utility,ideation,2026-03-26 09:22:18.505000+00:00,2026-03-26 09:22:18.505000+00:00
18,6,TRAE Demo-Y2,TRAE Demo-Y2,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/2243b35a-a0fa-4bd8-a6b5-2ca7033c288e.jpg,ZJ,330500,utility,completed,2026-03-26 11:16:25.874000+00:00,2026-03-26 11:16:25.874000+00:00
19,6,TRAE Demo-Y3,TRAE Demo-Y3,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/6e1a5da7-cdd7-4d00-b832-7d13bb8bd4bc.jpg,AH,340100,scenario,prototype,2026-03-26 11:21:03.527000+00:00,2026-03-26 11:21:03.527000+00:00
23,6,TRAE Demo-Y4,TRAE Demo-Y4,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-27/3296b9c8-014f-47c8-94ed-a467712268f3.jpg,CQ,500100,utility,prototype,2026-03-27 01:13:54.372000+00:00,2026-03-27 01:13:54.372000+00:00
