work_id,story,highlights,scenarios,demo_url,repo_url
10,目前有很多参赛demo项目，他们分布在各个角落，我们希望开发这款产品，集中管理他们。,"['好看，好用', '方便', '可玩性高']",['社区'],https://yueguichao.cn,
2,目前有很多参赛demo项目，他们分布在各个角落，我们希望开发这款产品，集中管理他们。,"['好看，好用', '方便', '可玩性高']",['社区'],https://yueguichao.cn,
4,TRAE Demo-Y1TRAE Demo-Y1,"['TRAE Demo', 'TRAE Demo', 'TRAE Demo']",['TRAE Demo-Y1'],http://localhost:3000/zh-CN/submit,
1,目前有很多参赛demo项目，他们分布在各个角落，我们希望开发这款产品，集中管理他们。,"['好看，好用', '方便', '可玩性高']",['社区'],https://yueguichao.cn,
3,因为我爱玩因为我爱玩因为我爱玩因为我爱玩因为我爱玩因为我爱玩,"['好看，好用', '方便', '可玩性高']",['下班后娱乐'],https://yueguichao.cn,https://www.xxxx.com
14,<p>2号相机是一款专为 Vlog 博主、自媒体创作者和视频爱好者设计的突破性相机应用。它打破了传统相机的限制，允许您同时调用 iPhone 的前置和后置摄像头进行录制，不错过任何一个精彩瞬间和真实反应。</p><p> 核心功能亮点 ：</p><p>1. 创新的双摄同录</p><p>- 支持多种专业布局：画中画 (PIP)、左右分屏、上下分屏。</p><p>- 自由调整：随意拖动画中画位置，缩放大小，让画面布局完全听你指挥。</p><p>- 独立控制：前置与后置镜头支持分离式变焦，互不干扰，满足精细化拍摄需求。</p><p>2. 智能悬浮提词器</p><p>- 告别忘词尴尬：内置提词器</p><p>- 眼神更自然：半透明悬浮设计，完美贴近镜头位置，让您的眼神始终与观众交流。</p><p>3. 专业级录制控制</p><p>- 多轨视频保存：支持在设置中开启“保存分离的多轨视频”，将前后镜头的画面分别保存为独立视频，为后期剪辑提供极大空间。</p><p>- 精准对焦曝光：轻点屏幕快速对焦，长按即可锁定 AE/AF（自动曝光/自动对焦），确保光线和焦点始终如一。</p><p>4. 极致的用户体验</p><p>- 纯粹的沉浸式竖屏拍摄界面。</p><p>- 无广告，不收集任何隐私数据，所有视频安全保存在您的本地相册。</p><p>立即下载 2号相机，开启您的双视角创作之旅！</p><p></p>,"['创新的双摄同录', '智能悬浮提词器', '专业级录制控制']",['Vlog拍摄、家庭活动记录、亲子记录'],https://apps.apple.com/us/app/2%E5%8F%B7%E7%9B%B8%E6%9C%BA/id6760926169,
16,<p>我们每天都在消费，却很少回头看</p><p>手机用了多久？</p><p>会员值不值？</p><p>那双鞋、那台设备、那次订阅——</p><p>真的“用回来”了吗？</p><p>「回本了么」帮你把一次性支出，</p><p>拆解成每天 / 每次的真实使用成本。</p><p>它不是记账工具</p><p>你不需要记录每一笔花销，</p><p>也不需要复杂的财务分类。</p><p>你只需要做一件事：</p><p>把你买过、正在用的东西放进来。</p><p>回本，是一种新的视角</p><p>用得越多，使用成本越低</p><p>用得越少，才越昂贵</p><p>已回本，不代表便宜</p><p>没回本，也不代表失败</p><p>它只是让你看清楚。</p><p>你可以用它做什么？</p><p>1、记录你买过的重要物品</p><p>2、直观看到使用进度与回本状态</p><p>3、每次使用，更新一次真实成本</p><p>4、帮助你在下次消费前，多想一秒</p><p>设计给“长期使用”的你</p><p>1、拟物化置物架，让物品更有“存在感”</p><p>2、清爽直观，不制造焦虑</p><p>3、数据只属于你，支持本地与 iCloud 同步</p><p>不是为了少花钱</p><p>而是为了——花得更明白</p>,"['拟物化', '消费反思', '回本计算']",['个人资产管理'],https://apps.apple.com/us/app/%E5%9B%9E%E6%9C%AC%E4%BA%86%E4%B9%88/id6756815210,
17,<h2>这是一个测试的项目</h2><p></p><p>Hi ～～～</p>,"['这是一个测试的项目', '这是一个测试的项目', '这是一个测试的项目']",['内部活动'],,
18,<p>TRAE Demo-Y2</p>,"['TRAE Demo-', 'TRAE Demo-', 'TRAE Demo-']",['TRAE Demo-Y2'],,
19,<p>TRAE Demo-Y3</p>,"['TRAE Demo-', 'TRAE Demo-', 'TRAE Demo-']",['TRAE Demo-Y3'],,
20,<p>TRAE Demo-Y3</p>,"['TRAE Demo-', 'TRAE Demo-', 'TRAE Demo-']",['TRAE Demo-Y3'],,
15,"<p>最开始是一个免费的安全资源站,</p><p>后来需要吃饭,想要逐步转收费模式,</p><p>于是通过trae cn 进行完全重构.</p><p></p>","['完全由trae编写', '完全由trae美化', '简洁\\方便\\好用']","['对于网络安全小白,需要资源的用户,都可以来网站上寻找到你所需的资源']",https://ycc77.cn,
21,<p>每天的工作都很忙，但很多工作都不是需要马上解决的，四象限工作法非常适合我的日常工作需要。</p>,"['工作重要性可视化', '自动提醒', '随时更新']",['每天的工作安排'],,
22,"<p>让店长从繁杂的""找货""中解脱，实现餐饮供应链末端的分钟级响应。</p>","['test', 'test', 'test']",['1、门店调拨'],https://www.bilibili.com/video/BV1rfAVzcEFz/?vd_source=073912c6fc9837e7f7359b163df11062,
23,<ol><li><p></p></li></ol><p>TRAE Demo-Y4</p>,"['TRAE Demo-', 'TRAE Demo-', 'TRAE Demo-']",['TRAE Demo-Y4'],,
